CarMake,CarModel,CarYear,Car_n_serie,Car_plate
Kia,Sportage,2001,2e5tEci82xk2290i,S53718
Mitsubishi,Outlander,2010,4j4uHq6ZEcD3302d,MEU939
Toyota,RAV4,1998,2m7tAcz9Xn97519p,G8C746
Audi,TT,2008,2d9xIOoJ9lS9567g,BPY092
GMC,Sonoma,1997,9i6cEip2DrQ5231r,JOQ886
Mercedes-Benz,CL-Class,2008,1c5oDNkFV007848a,MVV853
Volkswagen,GTI,1990,0o6sFHzHLfx7823k,OIT774
Pontiac,1000,1984,1k9hKlpUAqr7224a,VX1571
Pontiac,G6,2010,4d7qYU3ENjl0303z,BOD350
Jaguar,XF,2010,2i1uZelWRdO2617e,SAJ498
Lexus,ES,2010,9k7bNo8MDg33410q,KMN340
Mazda,RX-8,2008,2e1dNJxTGtV4396m,FZV002
Mazda,Protege,2000,5h2eWnuWOnE4653r,CX4103
Cadillac,SRX,2008,1h0eKGnGZdH7105n,XWD524
Land Rover,Discovery,2000,0h1cTljWSx56758u,DT8356
Mitsubishi,Pajero,1999,4r9pGdeG7n34747f,QVD796
Bentley,Continental GTC,2012,4f4hQccQZqE6009v,QIQ618
GMC,Rally Wagon 3500,1993,7v8fXvpS2r42949a,DE3910
Toyota,Land Cruiser,1992,6i1kG1hBXd72929a,ISD926
Subaru,Legacy,2012,5p6rHI0HDze5185r,C2N326
Ford,Ranger,1997,4t9jVRcWIwD9650f,QQZ845
Ford,Expedition EL,2012,9f8aKy7EAio1563q,GF8119
Hyundai,Tiburon,2007,4e7iA6s8QtG4185r,SNC582
Mazda,Miata MX-5,2011,0c8aOfxRNtS0470z,KLI806
Audi,4000s,1986,9j2nVU6N8tH4138g,H1Z892
Ford,F350,2002,3c5vSC8NWf20752r,SFD487
Dodge,Neon,1998,8y9qObjOD4C3581v,CNB242
Ford,E350,2010,6o0uFo6R8jV5839r,G32029
Plymouth,Reliant,1981,4e5jPT2C5042814u,DUX128
Chevrolet,Suburban 1500,2003,8f6aXmb655z4937b,GS6254
Jeep,Liberty,2012,1n6bIk6PJsJ4847i,FKK908
Oldsmobile,Bravada,1993,4h4lCTg52bs7861j,TDG802
Pontiac,Grand Am,1989,1s7xRqyTNgD5897e,EA8054
Nissan,Xterra,2006,1v7fUElPC0v8011f,I88627
Oldsmobile,Bravada,2004,5w6jKu7QQvs2379d,ABC035
Suzuki,Sidekick,1997,0j8xSloJI5c7309q,R7D879
Toyota,Tacoma,2010,5y4mA1lEEa80611i,TFA180
Suzuki,Vitara,1999,2d5sUY51UvQ8156z,K8F145
Kia,Sorento,2004,3l1wLY0VT6V8177h,SLF315
Chevrolet,Caprice,1994,7n7oDIgH4vL8971i,QXC635
Honda,CR-V,2012,8q4rUVbJ3zb9224h,EMA604
Plymouth,Reliant,1981,3a5iKrp5YfI8395c,HMM480
Volkswagen,Golf,1986,1m6qPD2JJyz5880w,QR5458
Ford,Econoline E250,1997,6z8yPwu34jM4284x,L5R488
Toyota,Corolla,1996,1d4gDIs5IkN9592m,PTO146
Buick,Lucerne,2010,0y4lMNmJKn89181w,IT8675
Dodge,Journey,2009,4o4jCr8Y82J5809b,VFP182
Kia,Forte,2012,5v0bBOv2PiK9280u,V3X787
Mazda,RX-7,1986,2y5cMdhIN692261g,IBC388
Porsche,Boxster,2004,1d5zAmaZH6D8465z,DE4284
Toyota,Tacoma,1997,0v0nNI48Hms5020m,K21143
Dodge,Avenger,2008,6f6rC4jJ3dF7804n,L0X635
Jaguar,XK Series,2004,3r4hEDcUV3k8470m,Q8Z088
Mercury,Mystique,2000,4u0lZ7y0SgJ8113b,DGV375
Lincoln,Blackwood,2002,7p9xS5cYQve9349b,ZMR959
Ford,Ranger,1999,8v1pLp4S12v1450d,Q90349
Jeep,Grand Cherokee,1994,4d2mLS2Y1cC8701c,ZA9980
Buick,Regal,2004,3m6xQ6849oN8814n,X09340
Toyota,4Runner,2010,0y0oIcbM5tA0369u,TAP273
GMC,Sierra 1500,2012,7w6pCn85O8c1077r,V40310
Mitsubishi,Lancer,2002,1a7cPmoOQ1L9968h,TBM671
Toyota,Tacoma Xtra,2001,7s2cLgyVMw41126r,FDW514
Volkswagen,Eurovan,1993,2k2qJgqR6ix6298q,AVX234
Mazda,B-Series,1993,8g3kTye40kP6257s,BKR423
Ford,Fusion,2011,8f2aAMp7Qt76313r,J79334
Jaguar,XK Series,1999,9j6sCek4Wl24967j,SSZ696
Infiniti,G,2004,2n5mHE7BY7I5882x,WHI860
Chevrolet,Corvette,1965,4y0aZEsUNrx5944c,LAL743
Chrysler,Sebring,2008,3e9vKD1YFoc1620q,SFZ722
Ford,F150,2006,7g9gKgmMPxD3654w,MPO631
Oldsmobile,Ciera,1992,9j5sT68T3wm7362w,FEO845
Pontiac,Bonneville,1986,4p8kLHtLEw87350w,NYZ625
Buick,Rendezvous,2004,7w8qBvp5Dyi4714d,CMI715
GMC,Yukon,1994,1n4dAa7SMdw2533x,UTZ390
BMW,M Roadster,2007,1i4wLDt3WsQ6202c,HE0012
Mitsubishi,Endeavor,2004,6i8cHSg5S637629r,G91909
Isuzu,i-Series,2008,8d5tT27ZA0i8576a,MME676
Mitsubishi,Eclipse,2008,6b8hBNdUW1t3362m,YN8656
Oldsmobile,Silhouette,1993,3a7tKNjU10L1396l,CXU123
Lexus,ES,2005,6h5eWxj05m13019h,LSF623
Ferrari,612 Scaglietti,2010,8v2nXZb94k78363y,S8D378
GMC,Jimmy,1994,2w4dMi7MT4U6990j,U7J584
Dodge,Daytona,1993,4c3aQa3P8uL7158l,HHV153
Ford,Fairlane,1965,1k0qRA1TUdh8375a,G72841
Mercedes-Benz,E-Class,1984,9i7dSJjRX2C3068y,SBS210
Ford,Bronco II,1985,1p3zSi7VIrt9519c,WXK980
Lincoln,Town Car,1985,6r8rMr18I8W2693o,KCZ395
BMW,Z8,2002,4d9tQMt3Iwj8593p,NJV591
Lincoln,Mark VIII,1996,6d8vGU8OVaD4572v,UOV065
Kia,Sportage,2011,5x7mGvzY7gI2693j,VKL356
Toyota,Prius,2011,9e4wWw0OMkX8457d,ADP053
Hyundai,Tucson,2005,2i4cTScEPsF1857g,TPL390
Volkswagen,Golf,2010,2k6qVyvXEht0412l,VWP008
Toyota,Camry,2001,5z7eKWm2Ycy5701a,KLG632
Land Rover,Range Rover Classic,1993,5o6eSwb0Myl3598z,QSO322
Infiniti,Q,1995,1i4cVe8GNmh3136e,NIY282
GMC,Suburban 2500,1994,8r4tQhi6A6o6850g,E0Z965
Ford,E-Series,1991,4c2aIh3VSok3526g,EG5551
Ford,Festiva,1993,1r5gLFwZU0a8471e,DJF674
Mercedes-Benz,E-Class,1996,6h9qNn2K7j54525r,Z3F675
Suzuki,Samurai,1994,3f4gW2hF1mp4445i,MAR641
Saab,900,1987,1x0qHpt04594060f,J8L254
Mazda,B-Series,1991,7j8mDWkZI7A7718t,ZZW359
Lamborghini,Gallardo,2012,2b1fWTsI37d2611w,CSL424
Infiniti,G,2003,4t5pRcz7GzQ7051q,FJL377
Saab,9-3,2000,4h3vDX6Y87O5275n,XNL993
GMC,Sierra 3500,2011,,YY4347
GMC,Sonoma,2003,7i8xKihZX7j3367m,D2W968
Ford,Windstar,2001,7u9eZYuW49P7567n,U9T033
Chevrolet,Suburban 1500,2006,2r8vTf9PRki0076j,AYU610
Chevrolet,Lumina,1997,9t2zY9yK72b7018v,WK8661
Volkswagen,GTI,1988,0g9xTIl09sG0159k,GRA239
Subaru,Loyale,1992,7x3rAArK0bJ1142t,JME816
Buick,Roadmaster,1993,7z1vPxcPIbL0158c,XFH592
Subaru,Impreza,2000,5y5mRndF17X6860o,S09675
Porsche,928,1990,4j6rHXzYP1L4943y,OVT327
Mitsubishi,L300,1988,2h1mBHpX37I0260q,FUL344
Ford,Edge,2012,8b4hBf2D8vn0088h,KNE687
Hummer,H1,2006,3z9fP3jT3uc9582o,PB1684
BMW,1 Series,2012,6a1rKns4V966183d,VIE418
Mercedes-Benz,300D,1993,7e5tEOa1XlH9408w,U35078
Toyota,RAV4,1998,4v9hGTjZVeg9940p,BB0430
Pontiac,LeMans,1964,9u3qRnrGXm87829c,LZU933
Nissan,Armada,2010,3x0mAAh1Vvw6693p,W5S651
Pontiac,Firebird,1991,7b0jSP4R0279156u,MKN054
Honda,Ridgeline,2011,4p0qU82Q4b70592x,ACW148
Maserati,GranTurismo,2011,2f4gYfd75yZ8384z,DA0963
Toyota,Tundra,2001,6k4yUBe2Flu7118k,F3W732
Audi,S4,2000,4i4kPZoKWcy7171x,ORC541
Hyundai,Elantra,2005,5q8xZCrVLkB7469j,TB7771
Chevrolet,Blazer,1997,6w9mJ0xPZjY6328u,GP5004
Lexus,RX,2006,9r9oJCwVVsj7227o,V6Z888
Maserati,Quattroporte,1984,9a5tUz5AZ7B4351c,D9R994
Chrysler,LeBaron,1992,8a4eAOuCN2m4128j,LCY700
Ford,Excursion,2003,4a6dA1qOYys2843t,ONI242
Maserati,Biturbo,1986,4f0aHu09ArP5191k,J16718
Mazda,626,1987,5i0oZbh5YdF5219n,K92293
GMC,Sierra 2500,2011,9d8uIteHQcC4936b,C24121
Ford,ZX2,2002,5s6nYj6PLj98289h,HWF442
Ford,E350,2007,6u2wWMeBDaD0203z,O0C902
Chevrolet,Impala,2003,0t3vZ5jZ4er4568d,TMS635
Toyota,Matrix,2012,3j4sAIcQB0U1813q,QBH858
Mercedes-Benz,300SE,1993,3g7qZ9vXQ0a8714h,RBX497
Honda,Accord,2005,9s5fOX48JoY6231x,AJ0140
Volkswagen,Passat,2007,8c0vQKlT1pD2670d,GD7549
MINI,Cooper Clubman,2012,1w9kPIy65um8804j,HVY465
Mercedes-Benz,W201,1993,3d9qKAhSFa77062n,DWA081
Mercedes-Benz,R-Class,2007,3a0wGp3CY881650o,CSR707
Mercury,Grand Marquis,2006,1o9nSqa7KzA4281c,M6C870
Mercedes-Benz,GL-Class,2009,7e5zBby422v0369g,EB0802
Toyota,Prius,2011,4p4yJt9N3aF3403p,TMY023
Ford,Fairlane,1966,1c8xPWzO5xr8902w,P31338
Mazda,MX-5,2010,8c4qUZxZBhJ1175g,RW1698
Hyundai,Accent,2011,2i3qBBu3Cus0539m,YPX867
Pontiac,Montana,2003,2l1rEeiOF4F5930m,UE2309
Cadillac,SRX,2004,1m2pJyg6Ump0436j,OW9753
Mitsubishi,Lancer,2011,7l0tSW6S9sZ4343j,W56154
GMC,Sierra 1500,2013,6j0dMjhZLxm7955x,JUZ072
Chevrolet,Suburban 2500,1998,1b2rANfKAfH1598f,Y5G128
Audi,S4,2000,8c6xMSw6YxK4213c,WS4704
Lexus,SC,1997,6g2xQmaLW4A5557o,AQP958
Mazda,B-Series Plus,1996,1l5xELiB1r02760e,NJU427
Honda,Element,2003,4v6bBHsWVmZ6285h,B04373
Mercedes-Benz,W126,1981,1i2mDG9T8220348u,WNN933
Nissan,Quest,2000,9z6tKYgZ8d26272u,L8R255
Chevrolet,Prizm,2001,1u1aUsg6Z153165l,NV4250
Toyota,Tacoma,2000,3d4fVanRJrJ6479k,O6P132
Chrysler,Town & Country,2012,6g0dN0eJKxc8059v,LTV757
Bentley,Azure,2008,2m7gVMjW2uv8877p,D25643
Mercedes-Benz,300SL,1993,8m0dX9mWEcL1043a,MAJ746
GMC,Vandura 1500,1993,0i2jFqzP5l20206d,CK5970
Dodge,Ram 3500,2000,5a4eHhyYPcj1455z,N8D173
Lexus,GS,1997,0s2bDdeG6nH3949b,U77983
Jeep,Patriot,2012,0h6iUGxUKlD8617v,OYJ965
Dodge,Stratus,2003,6h2bGKkVYvY3389v,W2S471
Mitsubishi,Mirage,1991,3l6mU1rCS7U4506c,YU9802
Porsche,911,2010,4x0iWT0E85C4900f,SY2865
Maserati,Biturbo,1985,3f5uSFjMUni3652g,OEF275
Mazda,Familia,1986,8y2bDEcLE212639u,W15837
Porsche,911,2007,4e6vUDoS0iK5951u,ZTT175
Subaru,SVX,1994,3r6bRMtCR1o3664e,EH7885
Mercedes-Benz,S-Class,1993,0n9aW5u40cD7800e,WOB909
Hyundai,Accent,2004,2p9tNX6RXyk2029h,DTA972
Jaguar,XK Series,2013,0p8iCvrHToN8768x,C9D193
Ford,F250,2007,7y7uTfoQW8t4044b,X8A562
Volkswagen,Corrado,1991,4q5iFMnKE885675y,JXX291
Bentley,Continental GT,2012,8y0tVXi3IpB6013n,UCR450
Pontiac,Gemini,1989,,ZAN005
Cadillac,Escalade,2002,2y0aNZh6JiF8919m,DNL661
BMW,525,2004,2y1sAfxO8q76591m,MNC290
Kia,Sportage,2012,0m1aUI0L7ru9748v,A9Y597
GMC,1500,1995,5m8aSXeF7wS6110y,ZDM581
Lexus,ES,1997,7p8vCO8PD0n3364c,WD1575
Chrysler,Town & Country,2011,1k8hVxqR2er8225q,TCU841
Eagle,Talon,1996,4h3oOLwI3lq6624b,J9T531
GMC,Envoy,1999,7m9qDkm2Qnk7124u,I4F134
Lincoln,Mark VIII,1998,3d2gJdlLG1S0365i,NCT011
Lincoln,Town Car,2007,7b6nTbx5Ne48523a,LLI117
Hyundai,Azera,2012,8i5jLG2XFeT4966j,K4I893
Volkswagen,Type 2,1985,6j3qALfJPky9995k,QS6522
Lincoln,Mark VII,1984,5g7eZbpT5oI4015k,GQK429
Porsche,911,2011,8o6iQs26AuK1486z,MC9731
Ford,Laser,1988,7g5mMKkDZzA1820u,DZR973
Toyota,4Runner,2010,4y4gVSg5Ude1216q,WS3464
Aston Martin,DBS,2011,0z2nXBd8Z4J5896i,PAD893
Honda,Civic,2001,4f7aXjq5Y0A0272t,HCP882
Audi,90,1994,9b8dTx2U07O2297u,L4K529
Saturn,Ion,2004,4x4vRRvOYmS3957t,XM1794
Chevrolet,Tahoe,2000,,LS6545
Volvo,S60,2005,7i2vVokUNf69356o,V3N326
Ford,Econoline E250,2002,7d1bKOuHSj87965r,OSL511
Mercury,Lynx,1985,8y9cXOzG7uD1351g,K9J557
Mercedes-Benz,CLK-Class,2002,1z8jB506ErF6367v,RMZ076
Audi,Coupe GT,1986,7c5dW4oH63O1668j,L2A995
Chevrolet,Express 2500,2011,3u3tMGd7L2e7943p,BE9641
Mazda,CX-9,2007,9h3dJA1OWgq4154w,W1E292
Toyota,Camry,1994,3j9rXx1K42E1120a,KYX449
Subaru,Justy,1989,9b3nFJz3J0y4801k,F4K321
GMC,Jimmy,1997,0i8tTot70sk7714y,AVE572
Audi,A6,1998,8k9qJZj8Gzy6515n,FGH017
Toyota,Tundra,2000,7u9rKgeCFuy5369s,BDW824
Suzuki,Daewoo Lacetti,2008,3k1mEMo793Y5099h,W34864
Porsche,Carrera GT,2005,8p8oUFzEG6R5141c,QF4498
Chevrolet,Express 2500,2009,7i0gPCoC8mh9017s,CM1661
Aston Martin,DBS,2011,9q1sRJk569t6864i,GNY791
GMC,Safari,1992,9u9zUBi5J6w4923i,J7Y217
Suzuki,Vitara,2002,7f0zLYbZ1tT6785t,FS5849
Ford,Thunderbird,1986,2w2rXThKB5V8813y,CAI327
Peugeot,207,2007,9b5pNX48Iw20633m,BN6537
Kia,Sportage,1996,3u3bXTzDXpU4394e,WUL536
Subaru,Tribeca,2006,5f6pH069Zjg7854e,EG7690
Chevrolet,Silverado 3500,2009,5m0wSP8UE2w1011o,D01042
Lamborghini,Murciélago,2005,4i5qTJnNZoE5059e,VC1518
Mazda,929,1988,4a8tVap0G835412t,OHT436
Mercedes-Benz,SL-Class,1997,1n0cFwu2QtA5647f,SRC262
