Date,Open,High,Low,Close,Adj Close,Volume
2016-10-01,null,null,null,null,null,null
2016-11-01,17.000000,18.350000,15.160000,18.059999,18.059999,62535300
2016-12-01,18.889999,22.650000,17.650000,17.700001,17.700001,55629500
2017-01-01,18.070000,19.950001,15.760000,16.379999,16.379999,47815700
2017-02-01,16.459999,18.309999,15.790000,16.840000,16.840000,67373800
2017-03-01,17.059999,17.469999,14.480000,16.709999,16.709999,70178500
2017-04-01,16.709999,16.990000,14.130000,14.420000,14.420000,45910900
2017-05-01,14.380000,15.350000,10.830000,11.550000,11.550000,80956600
2017-06-01,11.600000,12.350000,10.060000,10.830000,10.830000,84001000
2017-07-01,10.880000,12.630000,10.090000,12.420000,12.420000,53337200
2017-08-01,12.440000,13.100000,10.190000,11.360000,11.360000,66417400
2017-09-01,11.410000,15.030000,11.260000,14.500000,14.500000,61180300
2017-10-01,14.220000,17.410000,13.970000,16.730000,16.730000,59488600
