Date,Marque,Modele,Annee_modele,Type,Aide_financiere,Demandeur
2016-01-05,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-05,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-05,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-05,Nissan,Leaf,2016,VEE,6 000,Particulier
2016-01-05,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-05,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-05,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-05,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-05,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-05,Tesla,Model S,2015,VEE,8 000,Entreprise
2016-01-06,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-06,Tesla,Model S,2015,VEE,6 000,Particulier
2016-01-06,Nissan,Leaf,2015,VEE,8 000,Particulier
2016-01-06,Tesla,Model S,2015,VEE,8 000,Particulier
2016-01-06,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-06,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-06,Nissan,Leaf,2016,VEE,8 000,Municipalité
2016-01-06,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-06,Nissan,Leaf,2016,VEE,8 000,Entreprise
2016-01-07,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-07,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-07,Smart,fortwo electric driVEE,2015,VEE,8 000,Particulier
2016-01-07,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-08,Smart,fortwo electric driVEE,2015,VEE,8 000,Particulier
2016-01-08,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-08,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-08,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-08,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-08,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-08,Mitsubishi,i-MiEV,2014,VEE,8 000,Particulier
2016-01-08,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-11,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-11,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-11,Nissan,Leaf,2016,VEE,8 000,Particulier
2016-01-11,Kia,Soul,2016,VEE,8 000,Particulier
2016-01-11,Nissan,Leaf,2016,VEE,8 000,Particulier
