LONGITUDE,LATITUDE,ENQUÊTE,ANNÉE,PROVINCE,COMMUNAUTÉ,RÉSULTAT
-83.038,42.06,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.108,42.1,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.096,42.109,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.068,42.132,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-82.952,42.135,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-82.987,42.138,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-82.968,42.139,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-82.97,42.14,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.065,42.165,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.062,42.165,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-82.813,42.17,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.067,42.176,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-82.916,42.205,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-82.913,42.208,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.091,42.209,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.076,42.213,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.074,42.235,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.069,42.236,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.068,42.236,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.008,42.266,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.006,42.266,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.005,42.266,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.054,42.27,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.085,42.297,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.058,42.297,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.006,42.299,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.004,42.301,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-82.973,42.303,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.056,42.308,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.072,42.309,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.07,42.309,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.066,42.309,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.055,42.309,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.06,42.31,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-83.064,42.314,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-82.898,42.333,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,DÉTECTÉ
-82.922,41.983,AGRILE DU FRÊNE,2002,ONTARIO,COMTÉ D'ESSEX,NON DÉTECTÉ
