numeropol,debut_pol,fin_pol,freq_paiement,langue,type_prof,alimentation,type_territoire,utilisation,presence_alarme,annee_veh,marque_voiture,sexe,date_naissance,couleur_voiture,annee_permis,myopie,cheveux,cout1,cout2,cout3,cout4,cout5,cout6,cout7,nbsin,equipe
4,11-4-1996,10-4-1997,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,1,1991,HONDA,M,21-6-1955,Autre,1975,Y,Bruns,,,,,,,,0,3
4,11-4-1997,10-4-1998,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,1,1991,HONDA,M,21-6-1955,Autre,1975,Y,Blonds,,,,,,,,0,3
4,11-4-2002,17-7-2002,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,1,1991,HONDA,M,21-6-1955,Autre,1975,Y,Bruns,,,,,,,,0,3
4,18-7-2002,10-4-2003,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,1,1992,HONDA,M,21-6-1955,Autre,1975,Y,Blonds,,,,,,,,0,3
4,11-4-2003,10-4-2004,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,1,1992,HONDA,M,21-6-1955,Autre,1975,Y,Bruns,,,,,,,,0,3
12,3-5-1995,2-5-1996,1,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,1,1993,HONDA,M,28-3-1932,Autre,1965,Y,Blonds,,,,,,,,0,3
12,3-5-1996,2-5-1997,1,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,1,1993,HONDA,M,28-3-1932,Autre,1965,Y,Bruns,,,,,,,,0,3
12,3-5-1997,2-5-1998,1,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,1,1993,HONDA,M,28-3-1932,Autre,1965,Y,Bruns,,,,,,,,0,3
12,3-5-1998,2-5-1999,1,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,1,1993,HONDA,M,28-3-1932,Autre,1965,Y,Bruns,,,,,,,,0,3
12,3-5-1999,2-5-2000,1,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,1,1993,HONDA,M,28-3-1932,Autre,1965,Y,Bruns,,,,,,,,0,3
12,3-5-2000,2-5-2001,1,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,1,1993,HONDA,M,28-3-1932,Autre,1965,Y,Bruns,,,,,,,,0,3
12,3-5-2001,30-5-2001,1,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,1,1993,HONDA,M,28-3-1932,Autre,1965,Y,Bruns,,,,,,,,0,3
12,31-5-2001,2-5-2002,1,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,0,2001,HONDA,M,28-3-1932,Autre,1965,Y,Bruns,,,,,,,,0,3
12,3-5-2002,12-12-2002,1,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,0,2001,HONDA,M,28-3-1932,Autre,1965,Y,Bruns,,,,,,,,0,3
12,13-12-2002,2-5-2003,1,F,Ingénieur,Carnivore,Semi-urbain,Travail-quotidien,0,2001,HONDA,M,28-3-1932,Autre,1965,Y,Bruns,,,,,,,,0,3
14,29-10-1997,3-11-1997,12,F,Infirmière,Végétarien,Rural,Travail-occasionnel,1,1995,TOYOTA,M,28-7-1964,Autre,1985,Y,Bruns,,,,,,,,0,3
14,4-11-1997,28-10-1998,12,F,Infirmière,Végétarien,Rural,Travail-occasionnel,1,1995,TOYOTA,M,28-7-1964,Autre,1985,Y,Bruns,,,,,,,,0,3
14,29-10-1998,12-3-1999,12,F,Infirmière,Végétarien,Rural,Travail-occasionnel,1,1995,TOYOTA,M,28-7-1964,Autre,1985,Y,Bruns,,,,,,,,0,3
14,13-3-1999,28-10-1999,12,F,Infirmière,Végétarien,Rural,Travail-occasionnel,1,1995,TOYOTA,M,28-7-1964,Autre,1985,Y,Bruns,,,,,,,,0,3
15,26-6-1996,5-1-1997,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1994,VOLKSWAGEN,M,3-8-1960,Autre,1978,Y,Bruns,413.4285714,,,,,,,1,3
15,6-1-1998,21-8-1998,12,F,Technicien,Carnivore,Semi-urbain,Travail-occasionnel,0,1994,VOLKSWAGEN,M,3-8-1960,Autre,1978,Y,Bruns,,,,,,,,0,3
15,22-8-1998,5-1-1999,12,F,Technicien,Carnivore,Urbain,Travail-occasionnel,0,1994,VOLKSWAGEN,M,3-8-1960,Autre,1978,Y,Bruns,,,,,,,,0,3
