numeropol,marque_voiture,couleur_voiture,presence_alarme,license_plate
1,Autres,Autre,0,DW 3168
5,RENAULT,Autre,0,926 1RL
13,RENAULT,Autre,1,SOV 828
16,HONDA,Autre,0,ENSK 514
22,VOLKSWAGEN,Autre,1,453 CFM
22,VOLKSWAGEN,Autre,0,FHH 537
28,CHRYSLER,Autre,1,MWH 589
29,BMW,Autre,0,BQN 761
49,RENAULT,Autre,1,992 YIL
53,FIAT,Autre,1,OAWB 509
53,VOLKSWAGEN,Autre,0,385 6WR
57,VOLKSWAGEN,Autre,0,196 RYU
59,VOLKSWAGEN,Autre,1,GVSA-954
65,AUDI,Autre,1,GVUK-999
65,TOYOTA,Autre,0,FH 9569
67,RENAULT,Autre,1,GVQB-962
68,TOYOTA,Autre,0,081 SEF
69,MAZDA,Autre,0,JGX 988
69,ROVER,Autre,0,QT0 394
72,FORD,Autre,0,CZXK 403
78,NISSAN,Autre,1,440 XAG
83,PEUGEOT,Autre,0,SU 9462
84,FORD,Autre,1,047 2XW
84,HONDA,Autre,0,CBV 102
91,BMW,Autre,1,UOR-0725
92,VOLKSWAGEN,Autre,0,EHH 808
96,VOLKSWAGEN,Autre,1,UI8 41I
100,MERCEDES-B,Autre,0,GVDS-068
102,MAZDA,Autre,1,482 GLM
112,SUBARU,Autre,0,837636
113,BMW,Autre,0,IG6 958
114,LADA,Autre,0,W14 VAX
114,NISSAN,Autre,0,805692
115,CHRYSLER,Autre,0,TV0 342
115,GM,Autre,0,GVDQ-272
115,VOLKSWAGEN,Autre,0,PDLL 641
115,HONDA,Autre,0,762 OGS
119,SUZUKI,Autre,1,GVSA-318
121,PEUGEOT,Autre,1,552032
124,HONDA,Autre,1,GV5 85C
124,BMW,Autre,1,MH 6421
126,GM,Autre,1,LJB-3172
126,DAEWOO,Autre,0,PBZ-3945
130,GM,Autre,1,GVHF-138
136,VOLKSWAGEN,Autre,0,GVZD-117
146,TOYOTA,Autre,1,IZL 129
146,FORD,Autre,1,GVMD-511
152,PEUGEOT,Autre,1,220 OSN
152,PEUGEOT,Autre,0,JVU63
153,VOLKSWAGEN,Autre,1,F37 VQX
153,AUDI,Autre,0,GVMC-415
157,AUDI,Autre,0,GVLB-754
158,DAIHATSU,Autre,1,PXI 200
158,FORD,Autre,0,VUO 686
163,MITSUBISHI,Autre,1,CJ 0618
163,FIAT,Autre,1,GVGK-102
169,TOYOTA,Autre,1,XX6 926
171,TOYOTA,Autre,1,RMG 552
172,FORD,Autre,1,PY4 59O
173,BMW,Autre,1,987401
183,VOLKSWAGEN,Rouge,0,DJF 195
192,GM,Rouge,1,DEF 683
197,AUDI,Autre,0,JA3 36M
204,FORD,Autre,0,QRF-4993
204,VOLKSWAGEN,Autre,0,MNK 853
206,NISSAN,Autre,0,S17 WKV
206,DAEWOO,Autre,0,TO 7129
209,FIAT,Autre,0,VO4 360
209,RENAULT,Autre,0,570 NRA
211,GM,Autre,0,GVAV-339
231,PEUGEOT,Autre,1,R06 SXB
234,TOYOTA,Autre,1,GVJS-032
235,VOLKSWAGEN,Autre,1,SP 0973
236,VOLKSWAGEN,Autre,1,ZBFF 862
237,MERCEDES-B,Autre,0,IZXB 559
246,FORD,Autre,1,SIK 470
246,FIAT,Autre,1,GVAJ-328
257,DAIHATSU,Autre,1,RK2 89H
257,VOLKSWAGEN,Autre,0,NYDK 228
258,VOLKSWAGEN,Autre,0,WF 0977
261,RENAULT,Autre,1,SI 7869
261,FORD,Autre,1,PRR 163
267,ROVER,Autre,1,105 3GC
267,VOLKSWAGEN,Autre,0,595 NYR
268,VOLKSWAGEN,Rouge,1,XBT-2828
269,RENAULT,Autre,0,RG 6855
270,RENAULT,Autre,1,EFK 296
271,NISSAN,Autre,1,72 35EK
271,FORD,Autre,0,YHI 461
279,NISSAN,Autre,1,622 6WP
282,VOLKSWAGEN,Autre,1,902021
289,GM,Autre,0,894363
289,VOLKSWAGEN,Autre,0,HT7 290
290,CHRYSLER,Autre,0,IGP 098
