age	lx	dx	qx	m.e.(qx)	px	Lx	Tx	ex	m.e.(ex)
0 an	100000.00	499.00	0.00	0.00	1.00	99546.00	7972885.00	79.70	0.10
1 an	99501.00	18.00	0.00	0.00	1.00	99491.00	7873340.00	79.10	0.10
2 ans	99483.00	16.00	0.00	0.00	1.00	99475.00	7773849.00	78.10	0.10
3 ans	99467.00	14.00	0.00	0.00	1.00	99459.00	7674374.00	77.20	0.10
4 ans	99454.00	12.00	0.00	0.00	1.00	99449.00	7574915.00	76.20	0.10
5 ans	99442.00	11.00	0.00	0.00	1.00	99436.00	7475466.00	75.20	0.10
6 ans	99431.00	10.00	0.00	0.00	1.00	99426.00	7376030.00	74.20	0.10
7 ans	99421.00	9.00	0.00	0.00	1.00	99417.00	7276604.00	73.20	0.10
8 ans	99413.00	8.00	0.00	0.00	1.00	99409.00	7177187.00	72.20	0.10
9 ans	99405.00	7.00	0.00	0.00	1.00	99402.00	7077778.00	71.20	0.10
10 ans	99398.00	7.00	0.00	0.00	1.00	99395.00	6978376.00	70.20	0.10
11 ans	99391.00	7.00	0.00	0.00	1.00	99388.00	6878982.00	69.20	0.10
12 ans	99384.00	8.00	0.00	0.00	1.00	99380.00	6779594.00	68.20	0.10
13 ans	99376.00	10.00	0.00	0.00	1.00	99371.00	6680214.00	67.20	0.10
14 ans	99366.00	14.00	0.00	0.00	1.00	99359.00	6580843.00	66.20	0.10
15 ans	99352.00	21.00	0.00	0.00	1.00	99342.00	6481483.00	65.20	0.10
16 ans	99332.00	31.00	0.00	0.00	1.00	99316.00	6382141.00	64.30	0.10
17 ans	99301.00	40.00	0.00	0.00	1.00	99281.00	6282825.00	63.30	0.10
18 ans	99261.00	47.00	0.00	0.00	1.00	99237.00	6183544.00	62.30	0.10
19 ans	99214.00	51.00	0.00	0.00	1.00	99188.00	6084306.00	61.30	0.10
20 ans	99163.00	55.00	0.00	0.00	1.00	99135.00	5985118.00	60.40	0.10
21 ans	99108.00	58.00	0.00	0.00	1.00	99079.00	5885983.00	59.40	0.10
22 ans	99050.00	60.00	0.00	0.00	1.00	99020.00	5786904.00	58.40	0.10
23 ans	98991.00	60.00	0.00	0.00	1.00	98960.00	5687883.00	57.50	0.10
24 ans	98930.00	60.00	0.00	0.00	1.00	98900.00	5588923.00	56.50	0.10
25 ans	98871.00	59.00	0.00	0.00	1.00	98841.00	5490022.00	55.50	0.10
26 ans	98811.00	59.00	0.00	0.00	1.00	98782.00	5391181.00	54.60	0.10
27 ans	98752.00	59.00	0.00	0.00	1.00	98723.00	5292400.00	53.60	0.10
28 ans	98693.00	60.00	0.00	0.00	1.00	98663.00	5193677.00	52.60	0.10
29 ans	98633.00	62.00	0.00	0.00	1.00	98602.00	5095014.00	51.70	0.10
30 ans	98571.00	64.00	0.00	0.00	1.00	98539.00	4996412.00	50.70	0.10
31 ans	98507.00	67.00	0.00	0.00	1.00	98473.00	4897874.00	49.70	0.10
32 ans	98440.00	70.00	0.00	0.00	1.00	98405.00	4799401.00	48.80	0.10
33 ans	98370.00	73.00	0.00	0.00	1.00	98334.00	4700996.00	47.80	0.10
34 ans	98298.00	76.00	0.00	0.00	1.00	98259.00	4602662.00	46.80	0.10
35 ans	98221.00	80.00	0.00	0.00	1.00	98181.00	4504402.00	45.90	0.10
36 ans	98141.00	84.00	0.00	0.00	1.00	98099.00	4406221.00	44.90	0.10
37 ans	98057.00	90.00	0.00	0.00	1.00	98012.00	4308122.00	43.90	0.10
38 ans	97968.00	96.00	0.00	0.00	1.00	97920.00	4210109.00	43.00	0.10
39 ans	97872.00	103.00	0.00	0.00	1.00	97820.00	4112189.00	42.00	0.10
40 ans	97769.00	112.00	0.00	0.00	1.00	97713.00	4014369.00	41.10	0.10
41 ans	97657.00	122.00	0.00	0.00	1.00	97596.00	3916656.00	40.10	0.10
42 ans	97535.00	133.00	0.00	0.00	1.00	97468.00	3819061.00	39.20	0.10
43 ans	97402.00	145.00	0.00	0.00	1.00	97329.00	3721593.00	38.20	0.10
44 ans	97257.00	158.00	0.00	0.00	1.00	97177.00	3624263.00	37.30	0.10
45 ans	97098.00	173.00	0.00	0.00	1.00	97012.00	3527086.00	36.30	0.10
46 ans	96925.00	189.00	0.00	0.00	1.00	96831.00	3430074.00	35.40	0.10
47 ans	96736.00	206.00	0.00	0.00	1.00	96633.00	3333244.00	34.50	0.10
48 ans	96530.00	226.00	0.00	0.00	1.00	96417.00	3236611.00	33.50	0.10
49 ans	96304.00	247.00	0.00	0.00	1.00	96181.00	3140194.00	32.60	0.10
50 ans	96057.00	270.00	0.00	0.00	1.00	95922.00	3044013.00	31.70	0.10
51 ans	95787.00	296.00	0.00	0.00	1.00	95639.00	2948091.00	30.80	0.10
52 ans	95491.00	324.00	0.00	0.00	1.00	95329.00	2852452.00	29.90	0.10
53 ans	95167.00	355.00	0.00	0.00	1.00	94990.00	2757123.00	29.00	0.10
54 ans	94813.00	388.00	0.00	0.00	1.00	94619.00	2662133.00	28.10	0.10
55 ans	94425.00	425.00	0.00	0.00	1.00	94212.00	2567515.00	27.20	0.10
56 ans	94000.00	465.00	0.00	0.00	1.00	93767.00	2473303.00	26.30	0.10
57 ans	93535.00	509.00	0.01	0.00	0.99	93280.00	2379536.00	25.40	0.10
58 ans	93025.00	557.00	0.01	0.00	0.99	92747.00	2286256.00	24.60	0.10
59 ans	92468.00	610.00	0.01	0.00	0.99	92163.00	2193509.00	23.70	0.10
60 ans	91859.00	667.00	0.01	0.00	0.99	91525.00	2101345.00	22.90	0.10
61 ans	91192.00	729.00	0.01	0.00	0.99	90827.00	2009820.00	22.00	0.10
62 ans	90462.00	797.00	0.01	0.00	0.99	90064.00	1918993.00	21.20	0.10
63 ans	89665.00	871.00	0.01	0.00	0.99	89229.00	1828930.00	20.40	0.10
64 ans	88794.00	951.00	0.01	0.00	0.99	88318.00	1739700.00	19.60	0.10
65 ans	87843.00	1038.00	0.01	0.00	0.99	87323.00	1651382.00	18.80	0.10
66 ans	86804.00	1132.00	0.01	0.00	0.99	86238.00	1564058.00	18.00	0.10
67 ans	85672.00	1234.00	0.01	0.00	0.99	85055.00	1477820.00	17.30	0.10
68 ans	84439.00	1343.00	0.02	0.00	0.98	83767.00	1392765.00	16.50	0.10
69 ans	83096.00	1460.00	0.02	0.00	0.98	82366.00	1308998.00	15.80	0.10
70 ans	81636.00	1585.00	0.02	0.00	0.98	80844.00	1226632.00	15.00	0.10
71 ans	80051.00	1718.00	0.02	0.00	0.98	79192.00	1145788.00	14.30	0.10
72 ans	78334.00	1859.00	0.02	0.00	0.98	77404.00	1066595.00	13.60	0.10
73 ans	76474.00	2008.00	0.03	0.00	0.97	75470.00	989192.00	12.90	0.10
74 ans	74467.00	2164.00	0.03	0.00	0.97	73385.00	913721.00	12.30	0.10
75 ans	72303.00	2326.00	0.03	0.00	0.97	71140.00	840336.00	11.60	0.10
76 ans	69977.00	2493.00	0.04	0.00	0.96	68731.00	769196.00	11.00	0.10
77 ans	67484.00	2663.00	0.04	0.00	0.96	66152.00	700466.00	10.40	0.10
78 ans	64821.00	2835.00	0.04	0.00	0.96	63403.00	634313.00	9.80	0.10
79 ans	61986.00	3006.00	0.05	0.00	0.95	60483.00	570910.00	9.20	0.10
80 ans	58980.00	3172.00	0.05	0.00	0.95	57394.00	510427.00	8.70	0.10
81 ans	55808.00	3330.00	0.06	0.00	0.94	54143.00	453033.00	8.10	0.10
82 ans	52478.00	3475.00	0.07	0.00	0.93	50741.00	398890.00	7.60	0.10
83 ans	49003.00	3602.00	0.07	0.00	0.93	47202.00	348149.00	7.10	0.10
84 ans	45401.00	3707.00	0.08	0.00	0.92	43548.00	300947.00	6.60	0.10
85 ans	41694.00	3782.00	0.09	0.00	0.91	39803.00	257400.00	6.20	0.10
86 ans	37912.00	3822.00	0.10	0.00	0.90	36001.00	217597.00	5.70	0.10
87 ans	34090.00	3821.00	0.11	0.00	0.89	32179.00	181596.00	5.30	0.10
88 ans	30269.00	3773.00	0.12	0.00	0.88	28382.00	149416.00	4.90	0.10
89 ans	26496.00	3675.00	0.14	0.01	0.86	24658.00	121034.00	4.60	0.10
90 ans	22821.00	3523.00	0.15	0.01	0.85	21059.00	96376.00	4.20	0.10
91 ans	19298.00	3309.00	0.17	0.01	0.83	17644.00	75316.00	3.90	0.10
92 ans	15989.00	3032.00	0.19	0.01	0.81	14473.00	57672.00	3.60	0.10
93 ans	12957.00	2705.00	0.21	0.01	0.79	11605.00	43199.00	3.30	0.10
94 ans	10252.00	2346.00	0.23	0.01	0.77	9079.00	31594.00	3.10	0.10
95 ans	7906.00	2015.00	0.25	0.02	0.75	6899.00	22515.00	2.90	0.10
96 ans	5891.00	1628.00	0.28	0.02	0.72	5077.00	15616.00	2.70	0.10
97 ans	4263.00	1272.00	0.30	0.03	0.70	3627.00	10539.00	2.50	0.20
98 ans	2992.00	959.00	0.32	0.04	0.68	2512.00	6912.00	2.30	0.20
99 ans	2033.00	697.00	0.34	0.05	0.66	1684.00	4400.00	2.20	0.20
100 ans	1336.00	488.00	0.37	0.06	0.63	1092.00	2716.00	2.00	0.20
101 ans	848.00	328.00	0.39	0.08	0.61	684.00	1624.00	1.90	0.30
102 ans	519.00	212.00	0.41	0.10	0.59	413.00	940.00	1.80	0.30
103 ans	307.00	132.00	0.43	0.15	0.57	241.00	527.00	1.70	0.40
104 ans	175.00	79.00	0.45	0.17	0.55	136.00	286.00	1.60	0.60
105 ans	96.00	45.00	0.47	0.30	0.53	74.00	150.00	1.60	0.80
106 ans	51.00	25.00	0.49	0.23	0.51	39.00	76.00	1.50	0.90
107 ans	26.00	13.00	0.50	0.78	0.50	20.00	38.00	1.40	1.60
108 ans	13.00	7.00	0.52	0.49	0.48	10.00	18.00	1.40	1.00
109 ans	6.00	3.00	0.53	0.48	0.47	5.00	8.00	1.40	0.90
110 ans et plus	3.00	3.00	1.00	0.00	0.00	4.00	4.00	1.30	…
