age,lx
0 an,100000
1 an,99501
2 ans,99483
3 ans,99467
4 ans,99454
5 ans,99442
6 ans,99431
7 ans,99421
8 ans,99413
9 ans,99405
10 ans,99398
11 ans,99391
12 ans,99384
13 ans,99376
14 ans,99366
15 ans,99352
16 ans,99332
17 ans,99301
18 ans,99261
19 ans,99214
20 ans,99163
21 ans,99108
22 ans,99050
23 ans,98991
24 ans,98930
25 ans,98871
26 ans,98811
27 ans,98752
28 ans,98693
29 ans,98633
30 ans,98571
31 ans,98507
32 ans,98440
33 ans,98370
34 ans,98298
35 ans,98221
36 ans,98141
37 ans,98057
38 ans,97968
39 ans,97872
40 ans,97769
41 ans,97657
42 ans,97535
43 ans,97402
44 ans,97257
45 ans,97098
46 ans,96925
47 ans,96736
48 ans,96530
49 ans,96304
50 ans,96057
51 ans,95787
52 ans,95491
53 ans,95167
54 ans,94813
55 ans,94425
56 ans,94000
57 ans,93535
58 ans,93025
59 ans,92468
60 ans,91859
61 ans,91192
62 ans,90462
63 ans,89665
64 ans,88794
65 ans,87843
66 ans,86804
67 ans,85672
68 ans,84439
69 ans,83096
70 ans,81636
71 ans,80051
72 ans,78334
73 ans,76474
74 ans,74467
75 ans,72303
76 ans,69977
77 ans,67484
78 ans,64821
79 ans,61986
80 ans,58980
81 ans,55808
82 ans,52478
83 ans,49003
84 ans,45401
85 ans,41694
86 ans,37912
87 ans,34090
88 ans,30269
89 ans,26496
90 ans,22821
91 ans,19298
92 ans,15989
93 ans,12957
94 ans,10252
95 ans,7906
96 ans,5891
97 ans,4263
98 ans,2992
99 ans,2033
100 ans,1336
101 ans,848
102 ans,519
103 ans,307
104 ans,175
105 ans,96
106 ans,51
107 ans,26
108 ans,13
109 ans,6
110 ans et plus,3
