Date,Marque,Modele,Annee_modele,Type,Aide_financiere,Demandeur
2012-01-10,Nissan,Leaf,2012,VEE,8 000,Particulier
2012-01-13,Chevrolet,Volt,2012,VHR,7 769,Particulier
2012-01-20,Chevrolet,Volt,2012,VHR,7 769,Particulier
2012-01-20,Nissan,Leaf,2012,VEE,8 000,Particulier
2012-01-23,Toyota,Camry Hybrid,2012,VH,1 000,Particulier
2012-01-23,Toyota,Camry Hybrid,2012,VH,1 000,Particulier
2012-01-23,Nissan,Leaf,2012,VEE,8 000,Particulier
2012-01-24,Nissan,Leaf,2012,VEE,8 000,Particulier
2012-01-24,Chevrolet,Volt,2012,VHR,7 769,Particulier
2012-01-25,Chevrolet,Volt,2012,VHR,7 769,Particulier
2012-01-25,Toyota,Prius,2011,VH,1 000,Particulier
2012-01-26,Nissan,Leaf,2012,VEE,8 000,Particulier
2012-01-26,Chevrolet,Volt,2012,VHR,7 769,Particulier
2012-01-26,Nissan,Leaf,2012,VEE,8 000,Particulier
2012-01-26,Mitsubishi,i-MiEV,2012,VEE,7 769,Particulier
2012-01-31,Honda,Civic,2012,VH,1 000,Particulier
2012-01-31,Toyota,Prius V,2012,VH,1 000,Particulier
2012-01-31,Toyota,Prius V,2012,VH,1 000,Particulier
2012-01-31,Chevrolet,Volt,2012,VHR,7 769,Particulier
2012-01-31,Mitsubishi,i-MiEV,2012,VEE,7 769,Particulier
2012-01-31,Toyota,Prius V,2012,VH,1 000,Particulier
2012-01-31,Nissan,Leaf,2012,VEE,8 000,Entreprise
2012-02-02,Chevrolet,Volt,2012,VHR,7 769,Particulier
2012-02-02,Toyota,Prius V,2012,VH,750,Particulier
2012-02-07,Chevrolet,Volt,2012,VHR,7 769,Particulier
2012-02-07,Chevrolet,Volt,2012,VHR,7 769,Particulier
2012-02-07,Nissan,Leaf,2012,VEE,8 000,Particulier
2012-02-07,Toyota,Prius,2011,VH,1 000,Particulier
2012-02-07,Toyota,Prius V,2012,VH,1 000,Particulier
2012-02-07,Toyota,Camry Hybrid,2012,VH,1 000,Particulier
2012-02-07,Toyota,Camry Hybrid,2012,VH,1 000,Particulier
