date,DO,AMZN,AAPL,BA,FB,HON,ITW,NFLX
2016-11-01,18.059999,750.570007,108.604279,146.141251,118.419998,111.556175,122.703812,117
2016-12-01,17.700001,768.659973,114.396751,152.271408,115.050003,114.096947,124.507408,123.800003
2017-01-01,16.379999,823.47998,119.858795,159.841949,130.320007,116.529572,125.334496,140.710007
2017-02-01,16.84,845.039978,135.30661,176.283905,135.539993,122.616051,130.073944,142.130005
2017-03-01,16.709999,886.539978,142.509842,174.475708,142.050003,123.639748,130.527206,147.809998
2017-04-01,14.42,924.98999,142.499893,182.338272,150.25,129.847977,136.733475,152.199997
2017-05-01,11.55,994.619995,151.536972,185.100525,151.460007,131.679749,139.832733,163.070007
2017-06-01,10.83,968,143.45665,196.577545,150.979996,132.644974,141.842789,149.410004
2017-07-01,12.42,987.780029,148.148224,241.022461,169.25,135.461288,139.967224,181.660004
2017-08-01,11.36,980.599976,163.35849,238.239059,171.970001,137.600891,136.784103,174.710007
2017-09-01,14.5,961.349976,154.119995,254.210007,170.869995,141.740005,147.178955,181.350006
2017-10-01,16.73,1105.280029,169.039993,257.980011,180.059998,144.160004,156.520004,196.429993
